source,titre,prix,quartier,chambres,salles_de_bain,surface_m2,meuble,vue_mer,neuf,lien,surface_estimee,quartier_score
loger-dakar,Ouakam très belle duplex F4 à louer,800000.0,Ouakam,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/ouakam-tres-belle-duplex-f4-a-louer/,1,740800.0
loger-dakar,🏠 À LOUER – GRAND DUPLEX F4 À OUAKAM,800000.0,Ouakam,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/%f0%9f%8f%a0-a-louer-grand-duplex-f4-a-ouakam/,1,740800.0
loger-dakar,Scat urbam appartement à louer 3 chambres salon,450000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/scat-urbam-appartement-a-louer-3-chambres-salon/,1,639511.9856115108
loger-dakar,Appartement à louer aux Mamelles,950000.0,Mamelles,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-a-louer-aux-mamelles-5/,1,622633.1707317074
loger-dakar,Appartement 3 pièces à Louer près du TER Villeneuve Mbao,160000.0,Autre,2.0,1.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-3-pieces-a-louer-pres-du-ter-villeneuve-mbao/,1,639511.9856115108
loger-dakar,Waterfront – Confort premium & plage privée,120000.0,Autre,2.0,2.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/waterfront-confort-premium-plage-privee/,1,639511.9856115108
loger-dakar,Magnifique F4_Mermoz,1100000.0,Mermoz,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/magnifique-f4_mermoz/,1,1032668.5082872928
loger-dakar,Superbe F4 aux Almadies,1400000.0,Almadies,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/superbe-f4-aux-almadies/,1,1074463.5443349753
loger-dakar,Virage villa à louer R+2 6 chambres salon,2000000.0,Ngor,5.0,5.0,220.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/virage-villa-a-louer-r2-6-chambres-salon-2/,1,799681.1320754717
loger-dakar,APPARTEMENT F4 À LOUER OUAKAM EXTENSION,750000.0,Ouakam,3.0,4.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-ouakam-extension/,1,740800.0
loger-dakar,APPARTEMENT F3 À LOUER MAMELLES,300000.0,Mamelles,2.0,2.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f3-a-louer-mamelles-8/,1,622633.1707317074
loger-dakar,APPARTEMENT F4 À LOUER MAMELLES,500000.0,Mamelles,3.0,4.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-mamelles-18/,1,622633.1707317074
loger-dakar,APPARTEMENT F4 À LOUER DJILY MBAYE,300000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-djily-mbaye/,1,639511.9856115108
loger-dakar,MINI STUDIO À LOUER DJILY MBAYE,130000.0,Autre,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/mini-studio-a-louer-djily-mbaye/,1,639511.9856115108
loger-dakar,STUDIO À LOUER DJILY MBAYE,150000.0,Autre,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-a-louer-djily-mbaye-2/,1,639511.9856115108
loger-dakar,STUDIO À LOUER DJILY MBAYE,200000.0,Autre,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-a-louer-djily-mbaye/,1,639511.9856115108
loger-dakar,STUDIO À LOUER VIRAGE,350000.0,Ngor,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-a-louer-virage/,1,799681.1320754717
loger-dakar,STUDIO À LOUER SICAP FOIRE,250000.0,Autre,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-a-louer-sicap-foire-3/,1,639511.9856115108
loger-dakar,APPARTEMENT F3 À SICAP FOIRE,300000.0,Autre,2.0,2.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f3-a-sicap-foire/,1,639511.9856115108
loger-dakar,STUDIO À LOUER NGOR-ALMADIES,300000.0,Almadies,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-a-louer-ngor-almadies-5/,1,1074463.5443349753
loger-dakar,APPARTEMENT F4 À LOUER CPI,600000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-cpi/,1,639511.9856115108
loger-dakar,Villa meublée 5 pièces à louer à Saly,180000.0,Autre,4.0,4.0,180.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/villa-meublee-5-pieces-a-louer-a-saly-15/,1,639511.9856115108
loger-dakar,Appartement meublé F4 à louer aux almadies,750000.0,Almadies,3.0,3.0,140.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-meuble-f4-a-louer-aux-almadies-2/,1,1074463.5443349753
loger-dakar,Appartement meublé F4 à louer à ngor-virage,1300000.0,Ngor,3.0,3.0,140.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-meuble-f4-a-louer-a-ngor-virage-2/,1,799681.1320754717
loger-dakar,Studio F1 à louer aux almadies route king fahd palace,250000.0,Almadies,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-f1-a-louer-aux-almadies-route-king-fahd-palace/,1,1074463.5443349753
loger-dakar,Mermoz appartement 3 chambres salon meublé à louer,1800000.0,Mermoz,3.0,3.0,140.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/mermoz-appartement-3-chambres-salon-meuble-a-louer/,1,1032668.5082872928
loger-dakar,Magasin à louer au virage (route secondaire de la brioche dorée),250000.0,Ngor,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/magasin-a-louer-au-virage-route-secondaire-de-la-brioche-doree/,1,799681.1320754717
loger-dakar,Villa meublée en résidence à louer à saly,1000000.0,Autre,3.0,3.0,140.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/villa-meublee-en-residence-a-louer-a-saly/,1,639511.9856115108
loger-dakar,Villa à louer 3 chambres salon bambilor,250000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/villa-a-louer-3-chambres-salon-bambilor/,1,639511.9856115108
loger-dakar,Bel appartement meublé F2 à louer au point E,1000000.0,Point E,1.0,1.0,60.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/bel-appartement-meuble-f2-a-louer-au-point-e-6/,1,1003072.2891566266
loger-dakar,Appartement meublé F4 à louer aux almadies,750000.0,Almadies,3.0,3.0,140.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-meuble-f4-a-louer-aux-almadies/,1,1074463.5443349753
loger-dakar,Appartement à louer 3 chambres salon au Mermoz,1000000.0,Mermoz,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-a-louer-3-chambres-salon-au-mermoz/,1,1032668.5082872928
loger-dakar,Appartement à louer 3 chambres salon au Almadies,550000.0,Almadies,3.0,4.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-a-louer-3-chambres-salon-au-almadies/,1,1074463.5443349753
loger-dakar,Appartement 2 chambres salon virage,600000.0,Ngor,2.0,3.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-2-chambres-salon-virage/,1,799681.1320754717
loger-dakar,Almadies Villa R+2 à louer 7 chambres,1500000.0,Almadies,7.0,8.0,300.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/almadies-villa-r2-a-louer-7-chambres/,1,1074463.5443349753
loger-dakar,Sacré cœur VDN villa R+2 à louer 5 chambres,1000000.0,Autre,5.0,4.0,220.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/sacre-coeur-vdn-villa-r2-a-louer-5-chambres/,1,639511.9856115108
loger-dakar,Appartement Meublé F2 à Louer – Saly (Longue Durée),200000.0,Autre,1.0,1.0,60.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-meuble-f2-a-louer-saly-longue-duree/,1,639511.9856115108
loger-dakar,APPARTEMENT DE TYPE F4 À LOUER À KARACK,650000.0,Autre,3.0,4.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-de-type-f4-a-louer-a-karack/,1,639511.9856115108
loger-dakar,Appartement à louer,350000.0,Autre,2.0,2.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-a-louer-44/,1,639511.9856115108
loger-dakar,APPARTEMENT F2 À LOUER A MERMOZ SOUROK,550000.0,Mermoz,1.0,2.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f2-a-louer-a-mermoz-sourok/,1,1032668.5082872928
loger-dakar,STUDIO À LOUER SIPRES 2,310800.0,Autre,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/studio-a-louer-sipres-2/,1,639511.9856115108
loger-dakar,Appartement meublé F2 avec terrasse privée à louer aux almadies,650000.0,Almadies,1.0,1.0,60.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-meuble-f2-avec-terrasse-privee-a-louer-aux-almadies-2/,1,1074463.5443349753
loger-dakar,Grand magasin de superficie 150 m² à louer à liberté 5,900000.0,Sicap,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/grand-magasin-de-superficie-150-m%c2%b2-a-louer-a-liberte-5/,1,559881.25
loger-dakar,Grand magasin de superficie 150 m² à louer à liberté 5,250000.0,Sicap,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/magasin-a-louer-a-liberte-6-extension-4/,1,559881.25
loger-dakar,Duplex meublé F3 avec piscine à louer aux almadies,1300000.0,Almadies,2.0,2.0,100.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/duplex-meuble-f3-avec-piscine-a-louer-aux-almadies/,1,1074463.5443349753
loger-dakar,Appartement F4 à louer au virage,500000.0,Ngor,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f4-a-louer-au-virage-5/,1,799681.1320754717
loger-dakar,Appartement Fann-hock,200000.0,Autre,2.0,2.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-fann-hock-3/,1,639511.9856115108
loger-dakar,APPARTEMENT F3 ENTRÉE SALON À LOUER SICAP FOIRE,350000.0,Autre,2.0,3.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-f3-entree-salon-a-louer-sicap-foire/,1,639511.9856115108
loger-dakar,Sicap amitié,400000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/sicap-amitie/,1,639511.9856115108
loger-dakar,APPARTEMENT DE TYPE F3 À LOUER LIBERTÉ 6 EXTENSION,450000.0,Sicap,2.0,3.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-de-type-f3-a-louer-liberte-6-extension/,1,559881.25
loger-dakar,Magnifique appartement à louer au Point E,1000000.0,Point E,3.0,2.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/magnifique-appartement-a-louer-au-point-e/,1,1003072.2891566266
loger-dakar,Villa à louer à Sud Foire,800000.0,Autre,4.0,5.0,180.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/villa-a-louer-a-sud-foire/,1,639511.9856115108
loger-dakar,Appartement meublé F2 à louer sur corniche ouest baie de Ouakam,550000.0,Ouakam,1.0,1.0,60.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-meuble-f2-a-louer-sur-corniche-ouest-baie-de-ouakam/,1,740800.0
loger-dakar,Appartement 3 chambres salon virage,800000.0,Ngor,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-3-chambres-salon-virage/,1,799681.1320754717
loger-dakar,📍 Virage – Appartement à louer,800000.0,Ngor,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/%f0%9f%93%8d-virage-appartement-a-louer/,1,799681.1320754717
loger-dakar,Appartement à louer – Mamelles 3 chambres,550000.0,Mamelles,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/appartement-a-louer-mamelles-3-chambres/,1,622633.1707317074
loger-dakar,À LOUER – Appartement F2 en duplex aux Almadies,250000.0,Almadies,1.0,1.0,60.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/a-louer-bel-appartement-f2-en-duplex-aux-almadies/,1,1074463.5443349753
loger-dakar,"Le cadre parfait pour vos vacances, mariages ou séminaires – Villa pieds dans l’eau à Ngaparou",300000.0,Autre,5.0,5.0,220.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/le-cadre-parfait-pour-vos-vacances-mariages-ou-seminaires-villa-pieds-dans-leau-a-ngaparou-2/,1,639511.9856115108
loger-dakar,A louer – Bureaux spacieux F4 à ngor ( 1ere ligne),1200000.0,Ngor,3.0,2.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/a-louer-bureaux-spacieux-f4-a-ngor-1ere-ligne/,1,799681.1320754717
loger-dakar,À LOUER – Appartement f3 aux lmadies,450000.0,Autre,2.0,2.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/a-louer-appartement-f3-aux-lmadies/,1,639511.9856115108
loger-dakar,Villa meublée 5 pièces à louer à saly niakh niakhal,200000.0,Autre,4.0,4.0,180.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/villa-meublee-5-pieces-a-louer-a-saly-niakh-niakhal/,1,639511.9856115108
loger-dakar,Apparemment F5,150000.0,Autre,5.0,2.0,220.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/apparemment-f5/,1,639511.9856115108
loger-dakar,Magnifique appartement à louer à Kounoune,250000.0,Autre,3.0,2.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/magnifique-appartement-a-louer-a-kounoune/,1,639511.9856115108
